,0MainPrediction,1BackstagePrediction,2FOHPrediction,3Practice_RoomPrediction,4BacklinePrediction,5Merch_StandPrediction,6BarPrediction,Actual
106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6
107,0.0,0.0,0.0,0.0,0.19,0.0,0.0,6
108,0.0,0.0,0.08,0.0,0.0,0.0,0.0,2
109,0.0,0.0,0.02,0.0,0.0,0.0,0.96,6
110,0.01,0.0,0.0,0.0,0.08,0.47,0.01,5
111,0.0,0.0,0.02,0.01,0.0,0.0,0.0,4
112,0.09,0.0,0.0,0.0,0.0,0.0,0.0,6
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
114,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0
115,0.17,0.0,0.0,0.03,0.02,0.02,0.1,4
116,0.25,0.0,0.0,0.0,0.0,0.0,0.53,0
117,0.0,0.0,0.16,0.0,0.0,0.0,0.0,2
118,0.0,0.0,0.0,0.0,0.99,0.0,0.0,4
119,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0
120,0.01,0.0,0.0,0.0,0.15,0.0,0.0,4
121,0.02,0.0,0.01,0.03,0.03,0.0,0.02,3
122,0.06,0.0,0.0,0.0,0.03,0.0,0.38,0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
124,0.0,0.0,0.0,0.0,0.01,0.0,0.56,6
125,0.09,0.0,0.0,0.0,0.0,0.0,0.0,6
126,0.0,0.0,0.91,0.0,0.06,0.0,0.0,2
127,0.0,0.0,0.0,0.06,0.0,0.0,0.01,3
128,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
129,0.1,0.0,0.05,0.03,0.04,0.0,0.09,0
130,0.08,0.0,0.0,0.0,0.02,0.0,0.0,4
131,0.59,0.0,0.0,0.0,0.01,0.0,0.0,0
132,0.0,0.0,0.0,0.0,0.99,0.0,0.0,4
133,0.0,0.0,0.0,0.0,0.69,0.0,0.01,6
134,0.01,0.0,0.0,0.0,0.94,0.0,0.0,4
135,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2
136,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4
137,0.0,0.0,0.0,0.0,0.42,0.0,0.94,0
138,0.01,0.0,0.01,0.0,0.04,0.0,0.0,2
139,0.0,0.0,0.0,0.0,0.71,0.0,0.06,4
140,0.0,0.0,0.01,0.0,0.07,0.0,0.0,3
141,0.29,0.0,0.06,0.42,0.18,0.02,0.46,6
142,0.0,0.0,0.0,0.72,0.01,0.0,0.0,3
143,0.09,0.0,0.0,0.06,0.0,0.0,0.0,3
144,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0
145,0.0,0.0,0.42,0.0,0.31,0.0,0.0,4
146,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0
147,0.02,0.0,0.05,0.0,0.0,0.0,0.0,3
148,0.03,0.0,0.01,0.47,0.0,0.0,0.0,3
149,0.03,0.0,0.0,0.12,0.0,0.0,0.0,3
150,0.0,0.0,0.01,0.0,1.0,0.0,0.0,4
151,0.0,0.99,0.0,0.0,0.0,0.0,0.01,1
152,0.0,0.0,0.0,0.0,0.93,0.0,0.0,4
153,0.0,0.0,0.99,0.0,1.0,0.0,0.0,2
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
155,0.01,0.01,0.08,0.01,0.93,0.69,0.02,2
156,0.01,0.0,0.05,0.01,0.79,0.0,0.01,4
157,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
159,0.01,0.0,0.0,0.0,0.0,0.66,0.0,5
160,0.0,0.0,0.0,0.0,0.17,0.01,0.0,4
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
162,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2
163,0.01,0.0,0.0,0.67,0.0,0.0,0.0,3
164,0.0,0.0,0.0,0.0,0.0,0.01,0.98,6
165,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0
166,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
168,0.0,0.0,0.02,0.0,0.21,0.0,0.0,0
169,0.0,0.0,0.15,0.08,0.98,0.0,0.0,3
170,0.05,0.0,0.0,0.0,0.15,0.13,0.02,4
171,0.0,0.0,0.0,0.0,0.03,0.0,0.0,4
172,0.0,0.0,0.2,0.0,0.96,0.0,0.0,4
173,0.03,0.0,0.0,0.0,0.02,0.0,0.03,6
174,0.0,0.0,0.0,0.59,0.0,0.0,0.0,3
175,0.48,0.0,0.0,0.0,0.22,0.02,0.0,5
176,0.03,0.0,0.0,0.01,0.0,0.0,0.43,0
177,0.06,0.0,0.15,0.0,0.52,0.0,0.01,4
178,0.02,0.0,0.0,0.88,0.0,0.0,0.01,3
179,0.0,0.0,0.08,0.0,0.05,0.0,0.0,4
180,0.0,0.0,0.56,0.94,0.0,0.0,0.0,2
181,0.01,0.0,0.0,0.17,0.01,0.0,0.0,2
182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
183,0.06,0.0,0.0,0.0,0.0,0.0,0.0,6
184,0.0,0.0,0.2,0.87,0.0,0.0,0.0,0
185,0.0,0.0,0.98,0.12,0.0,0.0,0.0,3
186,0.0,0.0,0.0,0.0,0.36,0.0,0.0,6
187,0.0,0.0,1.0,0.01,0.0,0.0,0.0,2
188,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2
189,0.0,0.0,0.0,0.16,0.0,0.0,0.0,3
190,0.0,0.0,0.07,0.0,0.0,0.0,0.0,2
191,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4
192,0.02,0.0,0.0,0.14,0.0,0.0,0.0,5
193,0.02,0.0,0.03,0.05,0.01,0.01,0.08,6
194,0.0,0.0,0.16,0.0,0.0,0.0,0.01,2
195,0.08,0.0,0.0,0.0,0.63,0.0,0.91,4
196,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0
197,0.01,0.0,0.0,0.84,0.0,0.0,0.0,3
198,0.51,0.01,0.17,0.22,0.21,0.14,0.51,6
199,0.02,0.0,0.0,0.0,0.0,0.0,0.89,5
200,0.11,0.0,0.04,0.0,0.01,0.0,0.01,6
201,0.0,0.0,0.0,0.0,0.01,0.0,0.0,4
202,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0
203,0.01,0.0,0.0,0.01,0.26,0.0,0.0,4
204,0.04,0.0,0.0,0.24,0.0,0.0,0.0,3
205,0.01,0.0,0.0,0.0,0.08,0.0,0.1,4
206,0.0,0.0,0.0,0.01,0.0,0.0,0.36,3
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
208,0.01,0.0,0.04,0.01,0.0,0.0,0.0,6
209,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0
210,0.14,0.0,0.0,0.0,0.0,0.0,0.0,4
211,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0
212,0.0,0.0,0.58,0.02,0.0,0.0,0.0,2
213,0.03,0.0,0.47,0.0,0.43,0.0,0.09,6
214,0.07,0.0,0.0,0.0,0.0,0.0,0.0,4
215,0.0,0.0,0.0,0.03,0.01,0.0,0.1,2
216,0.0,0.0,0.0,0.0,0.0,0.23,0.0,5
217,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3
218,0.0,0.0,0.01,0.0,0.0,0.0,1.0,6
219,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3
220,0.0,0.0,0.0,0.0,0.01,0.41,0.0,4
221,0.03,0.0,0.0,0.0,0.0,0.0,0.01,6
222,0.0,0.0,0.0,0.86,0.0,0.0,0.0,2
223,0.0,0.0,0.04,0.75,0.0,0.0,0.0,3
224,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
226,0.05,0.0,0.0,0.0,0.0,0.0,0.0,6
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
228,0.03,0.0,0.0,0.0,0.0,0.0,0.89,0
229,0.0,0.0,0.01,0.0,0.0,0.0,0.0,3
230,0.99,0.0,0.03,0.0,0.0,0.0,0.0,2
231,0.0,0.0,0.0,0.0,0.91,0.0,0.0,4
232,0.0,0.0,0.0,0.13,0.0,0.0,0.0,4
233,0.0,0.0,0.36,0.0,0.04,0.0,0.0,2
234,0.45,0.0,0.06,0.24,0.29,0.13,0.39,4
235,0.0,0.0,0.0,0.91,0.0,0.0,0.0,3
236,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6
237,0.04,0.0,0.0,0.0,0.0,0.0,0.0,3
238,0.16,0.0,0.0,0.02,0.01,0.05,0.31,5
239,0.0,0.0,0.0,0.02,0.0,0.0,0.0,4
240,0.0,0.0,0.0,0.0,0.97,0.0,0.0,4
241,0.21,0.0,0.0,0.08,0.05,0.0,0.0,5
242,0.0,0.0,0.0,0.0,0.95,0.0,0.0,4
243,0.0,0.0,0.03,0.86,0.01,0.0,0.0,3
244,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6
245,0.63,0.0,0.0,0.01,0.0,0.0,0.0,3
246,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0
247,0.0,0.0,0.0,0.04,0.0,0.0,0.69,0
248,0.0,0.0,0.0,0.77,0.01,0.0,0.0,3
249,0.0,0.0,0.0,0.0,0.9,1.0,0.0,5
250,0.0,0.0,0.36,0.04,0.0,0.0,0.0,3
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
253,0.04,0.0,0.0,0.0,0.4,0.0,0.0,6
254,0.0,0.0,0.0,0.0,0.14,0.0,0.86,4
255,0.0,0.0,0.02,0.0,0.0,0.0,0.0,4
256,0.0,0.0,0.01,0.0,0.56,0.2,0.0,4
257,0.01,0.0,0.0,0.0,0.0,0.0,0.03,3
258,0.06,0.0,0.0,0.0,0.0,0.0,0.63,0
259,0.0,0.0,0.31,0.0,0.0,0.0,0.0,6
260,0.0,0.0,0.07,0.0,0.86,0.0,0.0,4
261,0.0,0.0,0.0,0.02,0.0,0.0,0.0,3
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
263,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
265,0.0,0.0,0.0,0.79,0.0,0.0,0.01,3
266,0.07,0.0,0.0,0.04,0.72,0.0,0.08,4
267,0.0,0.0,0.53,0.0,0.0,0.0,0.0,2
268,0.01,0.0,0.0,0.0,0.55,0.0,0.01,4
269,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3
270,0.0,0.0,0.17,0.02,0.0,0.0,0.0,2
271,0.0,0.0,0.01,0.13,0.0,0.0,0.0,3
272,0.0,0.0,0.0,0.01,0.0,0.0,0.0,3
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
274,0.01,0.0,0.0,0.0,0.0,0.0,0.41,0
275,0.0,0.0,0.0,0.0,0.02,0.0,0.0,5
276,0.05,0.0,0.0,0.08,0.01,0.0,0.0,6
277,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0
278,0.03,0.0,0.04,0.07,0.0,0.01,0.0,3
279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
280,0.77,0.0,0.0,0.0,1.0,0.0,0.0,0
281,0.11,0.0,0.0,0.0,0.06,0.0,0.03,0
282,0.0,0.0,0.0,0.0,0.26,0.0,0.0,4
283,0.0,0.0,0.0,0.0,0.01,0.0,0.0,4
284,0.0,0.0,0.0,0.28,0.0,0.0,0.0,3
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
287,0.0,0.0,0.13,0.0,0.01,0.0,0.0,3
288,0.63,0.0,0.7,0.0,1.0,0.0,0.0,2
289,0.0,0.0,0.0,0.0,0.01,0.03,0.0,4
290,0.0,0.0,0.0,0.68,0.01,0.0,0.0,3
291,0.19,0.0,0.09,0.03,0.46,0.58,0.67,6
292,0.45,0.09,0.3,0.43,0.5,0.29,0.65,6
293,0.0,0.0,0.0,0.0,0.46,0.0,0.0,4
294,0.0,0.0,0.0,0.0,0.0,0.03,0.0,3
295,0.01,0.0,0.01,0.0,0.6,0.0,0.02,0
296,0.0,0.0,0.0,0.0,0.89,0.0,0.0,6
297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
